UniqueID,BottleNo,True Bottle ID,NumID,Location No,Distance From Dam,Lake ID (4 dig.),Sampling Type (B/S),NH4Results,NOxResults,PO4Results,TPResults,NH4 BDL,Nox BDL,PO4 BDL,TP BDL,Microcystin Concentration,Chla (Avg 24 and on),Pheo (Avg 24 and on),NPOC (AVG) mg/L? [TOC],TN (AVG) mg/L? [TOC],Secchi Depth (m),Lat,Long,Month,Day,Year,Exclude,Date,FLIR,TIMEHHMMSS,DATEMMDDYYYY,FILENAME,FAULTCODE,BAROMETERMMHG,CONDSCM,SPCONDSCM,TDSMGL,SALPSU,NLFCONDSCM,DEPTHM,VERTICALPOSITIONM,PRESSUREPSIA,ODOSAT,ODOMGL,ODOCB,GPSLATITUDE,GPSLONGITUDE,ALTITUDEM,ORPMV,PH,PHMV,CABLEPWRV,BATTERYV,TEMPC,TURBIDITYFNU,TSSMGL,FULLDATETIME,SITE,BAND 1,BAND 2,BAND 3,BAND 4,BAND 5,BAND 6,BAND 7,BAND 8
10001,10202022FM1,20221020-FREE-B1,1101,1,NaN,FREE,Boat,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.731,-86.753,10,20,2022,FALSE,10/20/2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10002,10202022FM2,20221020-FREE-B2,1102,2,NaN,FREE,Boat,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.74,-86.744,10,20,2022,FALSE,10/20/2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10003,10202022FM3,20221020-FREE-B2,1102,2,NaN,FREE,Boat,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.745,-86.74,10,20,2022,FALSE,10/20/2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10004,10202022FM4,20221020-FREE-B1,1101,1,NaN,FREE,Boat,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.729,-86.756,10,20,2022,FALSE,10/20/2022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10005,20230310-1,20230310-SHAF-S?,?,?,NaN,SHAF,Bridge,0.0561,6.424,-0.004,-0.001,0.05,6.424,0.05,0.05,NaN,3.87,NaN,NaN,NaN,NaN,40.73183,-86.75501,3,10,2023,FALSE,3/10/2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10006,20230310-2,20230310-SHAF-S?,?,?,NaN,SHAF,Bridge,NaN,NaN,NaN,0.0085,NaN,NaN,NaN,0.05,NaN,NaN,NaN,NaN,NaN,NaN,40.73183,40.73183,3,10,2023,FALSE,3/10/2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10007,20230310-3,20230310-SHAF-S?,?,?,NaN,SHAF,Bridge,NaN,NaN,NaN,0.0185,NaN,NaN,NaN,0.05,NaN,NaN,NaN,NaN,NaN,NaN,40.73183,-86.75501,3,10,2023,FALSE,3/10/2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10008,20230310-4,20230310-SHAF-S?,?,?,NaN,SHAF,Bridge,NaN,NaN,NaN,0.0885,NaN,NaN,NaN,0.05,NaN,NaN,NaN,NaN,NaN,NaN,40.73183,-86.75501,3,10,2023,FALSE,3/10/2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10009,20230310-5,20230310-SHAF-S?,?,?,NaN,SHAF,Bridge,NaN,NaN,NaN,0.086,NaN,NaN,NaN,0.05,NaN,NaN,NaN,NaN,NaN,NaN,40.73183,-86.75501,3,10,2023,FALSE,3/10/2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10010,20230310-6,20230310-SHAF-S?,?,?,NaN,SHAF,Bridge,0.0191,6.193,-0.002,0.0905,0.05,6.193,0.05,0.05,NaN,1.36,NaN,NaN,NaN,NaN,40.73183,-86.75501,3,10,2023,FALSE,3/10/2023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
